Temporal_Rep,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FLA_1,FLA_2,FLA_3,FLA_4,FLA_5,FLA_6,FLA_7,FLA_8,FLA_9,Total_FLA,Mean_FLA,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,FPLD_8,FPLD_9,Total_FPLD,Mean_PLD,Notes
5,10.0,NA,NA,N,N,N,K,4,6.9,19.11,23.616,19.974,11.15,NA,NA,NA,NA,NA,73.85,18.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11.0,NA,NA,N,N,N,K,3,6.9,14.976,20.354,17.392,NA,NA,NA,NA,NA,NA,52.722,17.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,12.0,NA,NA,N,N,N,K,4,6.4,9.691,10.506,12.409,7.799,NA,NA,NA,NA,NA,40.405,10.10125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13.0,NA,NA,N,N,N,K,3,5.2,20.482,21.364,16.31,NA,NA,NA,NA,NA,NA,58.156,19.38533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,14.0,NA,NA,N,N,N,K,3,9.0,29.756,31.877,27.597,NA,NA,NA,NA,NA,NA,89.23,29.74333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,15.0,NA,NA,N,N,N,K,4,NA,16.312,19.344,21.263,12.066,NA,NA,NA,NA,NA,68.985,17.24625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,16.0,NA,NA,N,N,N,K,4,9.4,33.649,38.04,37.272,25.836,NA,NA,NA,NA,NA,134.797,33.69925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17.0,NA,NA,N,Y,N,K,5,14.0,48.273,57.323,71.493,68.378,27.254,NA,NA,NA,NA,272.721,54.5442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,18.0,NA,NA,N,Y,N,K,6,13.0,19.018,35.085,67.062,65.228,70.13,39.758,NA,NA,NA,296.281,49.38016667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,19.0,NA,NA,N,Y,N,K,5,14.4,55.625,62.265,82.219,60.235,41.288,NA,NA,NA,NA,301.632,60.3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,20.0,NA,NA,N,Y,N,K,7,14.4,22.831,56.31,64.952,85.945,87.42,58.208,28.89,NA,NA,404.556,57.79371429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21.0,NA,NA,N,Y,N,K,6,11.5,9.056,43.522,46.083,52.568,45.054,19.81,NA,NA,NA,216.093,36.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,22.0,NA,NA,N,Y,N,K,5,13.3,50.926,52.578,64.138,59.376,57.316,NA,NA,NA,NA,284.334,56.8668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,23.0,NA,NA,N,Y,N,K,5,14.6,88.556,83.128,88.422,62.483,26.549,NA,NA,NA,NA,349.138,69.8276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,24.0,NA,NA,N,Y,N,K,4,14.4,46.514,37.605,54.166,34.294,NA,NA,NA,NA,NA,172.579,43.14475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,25.0,NA,NA,N,Y,N,K,5,13.6,43.328,53.767,63.51,54.597,33.758,NA,NA,NA,NA,248.96,49.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,26.0,NA,NA,N,Y,N,K,5,14.0,62.034,70.103,61.763,50.579,22.654,NA,NA,NA,NA,267.133,53.4266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
