Temporal_Rep,State,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,Total_FPLD,Mean_PLD,FSN,FSL,ISMM,ISM,FSMM,FSM,RGR,Notes
1,FL,S30,S25_S30,MY_FN_HN,Y,N,N,K,5,8.1,0,0,2.0,0.0,0.0,NA,NA,2,0.4,1,NA,0.323,0.1152,0.61455,0.43133,1.32020371,NA
1,FL,S31,S30_S36,MY_FN_HN,Y,N,N,K,5,9.3,1,0,0.0,0.0,0.0,NA,NA,1,0.2,0,NA,0.5153,0.09183,0.61455,0.43234,1.549273274,NA
1,FL,S32,S30_S36,MY_FN_HN,Y,N,N,K,5,9.3,0,1,0.0,0.0,0.0,NA,NA,1,0.2,1,NA,0.323,0.11645,0.61455,0.10933,-0.06309116488,NA
1,FL,S33,S30_S36,MY_FN_HN,Y,N,N,K,6,10.6,1,0,18.0,1.0,0.0,0.0,NA,20,3.333333333,0,NA,0.323,0.10729,0.61455,0.44421,1.420761975,NA
1,FL,S34,S30_S36,MY_FN_HN,Y,N,N,K,4,7.8,2,8,1.0,2.0,NA,NA,NA,13,3.25,0,NA,0.5153,0.43133,0.61455,0.43213,0.001853010513,NA
1,FL,S35,S30_S36,MY_FN_HN,Y,N,N,K,5,10.3,0,1,0.0,1.0,0.0,NA,NA,2,0.4,0,NA,0.323,0.52344,0.61455,0.44213,-0.1688184541,NA
1,FL,S36,S30_S36,MY_FN_HN,Y,N,N,K,4,8,0,0,0.0,0.0,NA,NA,NA,0,0,1,NA,0.323,0.42355,0.61455,0.54321,0.2488244146,NA
2,FL,S37,S37_S42,MY_FY_HN,Y,Y,N,K,4,4,0,0,0.0,0.0,NA,NA,NA,0,0,0,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S38,S37_S42,MY_FY_HN,Y,Y,N,K,4,5.2,0,0,0.0,0.0,NA,NA,NA,0,0,1,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S39,S37_S42,MY_FY_HN,Y,Y,N,K,4,5,0,0,0.0,0.0,NA,NA,NA,0,0,0,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S40,S37_S42,MY_FY_HN,Y,Y,N,K,4,5,0,0,0.0,1.0,NA,NA,NA,1,0.25,0,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S41,S37_S42,MY_FY_HN,Y,Y,N,K,4,4,0,0,0.0,12.0,0.0,NA,NA,12,3,0,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S42,S37_S42,MY_FY_HN,Y,Y,N,K,4,6.1,0,0,0.0,8.0,1.0,NA,NA,9,2.25,0,S,0.6506,0.1084333333,0.6876,0.1146,0.05531225947,NA
2,FL,S43,S43_S48,MY_FY_HN,Y,Y,N,K,3,6.8,0,0,0.0,NA,0.0,NA,NA,0,0,0,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S44,S43_S48,MY_FY_HN,Y,Y,N,K,4,7.3,0,0,1.0,0.0,NA,NA,NA,1,0.25,0,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S45,S43_S48,MY_FY_HN,Y,Y,N,K,4,5.9,0,44,14.0,1.0,2.0,NA,NA,61,15.25,0,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S46,S43_S48,MY_FY_HN,Y,Y,N,K,4,6.2,4,0,0.0,0.0,0.0,0.0,NA,4,1,1,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S47,S43_S48,MY_FY_HN,Y,Y,N,K,4,8,3,12,0.0,0.0,1.0,NA,NA,16,4,1,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S48,S43_S48,MY_FY_HN,Y,Y,N,K,4,6.6,2,0,9.0,3.0,5.0,NA,NA,19,4.75,1,S,0.6282,0.1047,0.6239,0.1039833333,-0.006868487988,NA
2,FL,S49,S49_S54,MY_FY_HN,Y,Y,N,K,4,8,2,0,16.0,1.0,0.0,NA,NA,19,4.75,1,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
2,FL,S50,S49_S54,MY_FY_HN,Y,Y,N,K,4,8,0,24,0.0,0.0,1.0,NA,NA,25,6.25,1,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
2,FL,S51,S49_S54,MY_FY_HN,Y,Y,N,K,3,6.5,0,3,0.0,0.0,0.0,NA,NA,3,1,10,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
2,FL,S52,S49_S54,MY_FY_HN,Y,Y,N,K,4,7.6,0,6,0.0,2.0,2.0,NA,NA,10,2.5,1,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
2,FL,S53,S49_S54,MY_FY_HN,Y,Y,N,K,3,4.9,3,0,1.0,1.0,0.0,NA,NA,5,1.666666667,0,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
2,FL,S54,S49_S54,MY_FY_HN,Y,Y,N,K,4,5.5,1,2,0.0,0.0,0.0,NA,NA,3,0.75,1,S,0.7222,0.1203666667,0.6434,0.1072333333,-0.115535494,NA
4,FL,S55,S55,MN_FN_HN,N,N,N,K,4,4.3,0,8,0.0,3.0,NA,NA,NA,11,2.75,1,S,NA,0.033,NA,0.0604,0.3022407717,Done with the 4th round
4,FL,S56,S56,MN_FN_HN,N,N,N,K,4,4.2,0,0,0.0,0.0,NA,NA,NA,0,0,0,S,NA,0.0199,NA,NA,NA,Done with the 4th round
4,FL,S57,S57,MN_FN_HN,N,N,N,K,4,4.7,0,2,0.0,0.0,NA,NA,NA,2,0.5,1,S,NA,0.0541,NA,0.1236,0.4131081796,Done with the 4th round
4,FL,S58,S58,MN_FN_HN,N,N,N,K,4,5,5,2,11.0,0.0,NA,NA,NA,18,4.5,1,S,NA,0.0221,NA,0.0512,0.8401619235,Done with the 4th round
4,FL,S59,S59,MN_FN_HN,N,N,N,K,4,4.2,0,0,2.0,0.0,NA,NA,NA,2,0.5,1,S,NA,0.0566,NA,0.1239,0.3917329017,Done with the 4th round
4,FL,S60,S60,MN_FN_HN,N,N,N,K,4,4.8,0,0,7.0,6.0,NA,NA,NA,13,3.25,1,S,NA,0.0494,NA,0.1003,0.7082152708,Done with the 4th round
4,FL,S61,S61,MN_FN_HN,N,N,N,K,5,6.4,2,8,5.0,5.0,4.0,NA,NA,24,4.8,1,S,NA,0.0538,NA,0.1153,0.3811319801,Done with the 4th round
4,FL,S62,S62,MN_FN_HN,N,N,N,K,3,4.3,1,3,7.0,NA,NA,NA,NA,11,3.666666667,1,S,NA,0.0463,NA,0.1078,0.8451356974,Done with the 4th round
4,FL,S63,S63,MN_FN_HN,N,N,N,K,4,5.2,2,2,3.0,12.0,NA,NA,NA,19,4.75,1,S,NA,0.0515,NA,0.0968,0.3155325933,Done with the 4th round
4,FL,S64,S64,MN_FN_HN,N,N,N,K,4,5.6,0,5,1.0,0.0,NA,NA,NA,6,1.5,1,S,NA,0.0303,NA,0.0795,0.9646093091,Done with the 4th round
4,FL,S65,S65,MN_FN_HN,N,N,N,K,4,5,0,8,14.0,5.0,NA,NA,NA,27,6.75,1,S,NA,0.0617,NA,0.1369,0.3984834007,Done with the 4th round
4,FL,S66,S66,MN_FN_HN,N,N,N,K,4,4.9,0,2,4.0,2.0,NA,NA,NA,8,2,1,S,NA,0.0468,NA,0.0846,0.5920510637,Done with the 4th round
4,FL,S67,S67,MN_FN_HN,N,N,N,K,3,6.6,5,10,7.0,NA,NA,NA,NA,22,7.333333333,1,S,NA,0.0492,NA,0.0766,0.2213517266,Done with the 4th round
4,FL,S68,S68,MN_FN_HN,N,N,N,K,3,5,0,3,0.0,NA,NA,NA,NA,3,1,1,S,NA,0.0464,NA,0.0761,0.4947488056,Done with the 4th round
4,FL,S69,S69,MN_FN_HN,N,N,N,K,5,5.7,0,2,5.0,0.0,2.0,NA,NA,9,1.8,1,S,NA,0.0506,NA,0.0798,0.2277859641,Done with the 4th round
4,FL,S70,S70,MN_FN_HN,N,N,N,K,5,6.4,3,2,0.0,5.0,0.0,NA,NA,10,2,1,S,NA,0.0447,NA,0.1359,1.11194582,Done with the 4th round
4,FL,S71,S71,MN_FN_HN,N,N,N,K,4,6,1,2,2.0,3.0,NA,NA,NA,8,2,1,S,NA,0.0494,NA,0.1356,0.5048794757,Done with the 4th round
4,FL,S72,S72,MN_FN_HN,N,N,N,K,4,5.1,0,0,13.0,0.0,NA,NA,NA,13,3.25,0,S,NA,0.0462,NA,0.0837,0.2971295897,Done with the 4th round
3,FL,S73,S73,MN_FY_HN,N,Y,N,K,6,11.1,0,8,0.0,1.0,NA,NA,NA,9,1.5,0,S,NA,0.10077,NA,0.05209,-0.3299338503,NA
3,FL,S74,S74,MN_FY_HN,N,Y,N,K,6,9.5,0,1,0.0,1.0,NA,NA,NA,2,0.3333333333,1,S,NA,0.14683,NA,0.05212,-0.5178633514,NA
3,FL,S75,S75,MN_FY_HN,N,Y,N,K,5,9.5,0,0,0.0,1.0,1.0,0.0,NA,2,0.4,1,S,NA,0.1273,NA,0.063,-0.3517058896,NA
3,FL,S76,S76,MN_FY_HN,N,Y,N,K,7,9,25,0,2.0,0.0,0.0,NA,NA,27,3.857142857,1,S,NA,0.1056,NA,0.06943,-0.2096696603,NA
3,FL,S77,S77,MN_FY_HN,N,Y,N,K,6,9.6,2,0,0.0,1.0,0.0,NA,NA,3,0.5,1,S,NA,0.10279,NA,0.0409,-0.4607790045,NA
3,FL,S78,S78,MN_FY_HN,N,Y,N,K,7,9.5,0,23,3.0,0.0,0.0,NA,NA,26,3.714285714,1,S,NA,0.12734,NA,0.22345,0.2811635004,NA
